"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"0_bETa_future","0_bETa_future","0[-,-,-]bETa_future[g_v,n_v,p_v]","karwA","L11","n","-1","-1","-1"
"0_bETa_subj","0_bETa_subj","0[-,-,-]bETa_subj[-,n_v,p_v]","BAve","L11","n","0","-1","-1"
"0_bETa_wA","0_bETawA","0[-,-,-]bETa_wA[g_v,n_v,-]","karwA","L11","n","-1","-1","0"
"0_bETa_wA_WA_WA","0_bETawA_WA","0[-,-,-]bETa_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L11","n","-1","-1","0"
"0_bETa_wA_hE_hE","0_bETawA_hE","0[-,-,-]bETa_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L11","n","-2","-1","-1"
"0_bETa_wA_ho_0","0_bETawA_ho","0[-,-,-]bETa_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L11","n","-2","-1","-1"
"0_bETa_wA_ho_future","0_bETawA_ho_future","0[-,-,-]bETa_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L11","n","-1","-1","-1"
"0_bETa_yA","0_bETA","0[-,-,-]bETa_yA[g_v,n_v,-]","karwA","L11","n","-1","-1","0"
"0_bETa_yA_WA_WA","0_bETA_WA","0[-,-,-]bETa_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L11","n","-1","-1","0"
"0_bETa_yA_hE_hE","0_bETA_hE","0[-,-,-]bETa_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L11","n","-2","-1","-1"
"0_bETa_yA_ho_0","0_bETA_ho","0[-,-,-]bETa_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L11","n","-2","-1","-1"
"0_bETa_yA_ho_future","0_bETA_ho_future","0[-,-,-]bETa_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L11","n","-1","-1","-1"
"0_bETa_yA_ho_wA","0_bETA_howA","0[-,-,-]bETa_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L11","n","-1","-1","0"
"0_cuka_future","0_cuka_future","0[-,-,-]cuka_future[g_v,n_v,p_v]","karwA","L26","n","-1","-1","-1"
"0_cuka_yA","0_cukA","0[-,-,-]cuka_yA[g_v,n_v,-]","karwA","L26","n","-1","-1","0"
"0_cuka_yA_WA_WA","0_cukA_WA","0[-,-,-]cuka_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L26","n","-1","-1","0"
"0_cuka_yA_hE_hE","0_cukA_hE","0[-,-,-]cuka_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L26","n","-2","-1","-1"
"0_cuka_yA_ho_0","0_cukA_ho","0[-,-,-]cuka_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L26","n","-2","-1","-1"
"0_cuka_yA_ho_future","0_cukA_ho_future","0[-,-,-]cuka_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L26","n","-1","-1","-1"
"0_cuka_yA_ho_wA","0_cukA_howA","0[-,-,-]cuka_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L26","n","-1","-1","0"
"0_dAla_future","0_dAla_future","0[-,-,-]dAla_future[g_v,n_v,p_v]","karwA","L13","n","-1","-1","-1"
"0_dAla_nA","0_dAlanA","0[-,-,-]dAla_nA[-,s,m]","BAve","L13","imp","0","s","m"
"0_dAla_subj","0_dAla_subj","0[-,-,-]dAla_subj[-,n_v,p_v]","BAve","L13","n","0","-1","-1"
"0_dAla_wA","0_dAlawA","0[-,-,-]dAla_wA[g_v,n_v,-]","karwA","L13","n","-1","-1","0"
"0_dAla_wA_WA_WA","0_dAlawA_WA","0[-,-,-]dAla_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L13","n","-1","-1","0"
"0_dAla_wA_hE_hE","0_dAlawA_hE","0[-,-,-]dAla_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L13","n","-2","-1","-1"
"0_dAla_wA_ho_0","0_dAlawA_ho","0[-,-,-]dAla_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L13","n","-2","-1","-1"
"0_dAla_wA_ho_future","0_dAlawA_ho_future","0[-,-,-]dAla_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L13","n","-1","-1","-1"
"0_dAla_yA","0_dAlA","0[-,-,-]dAla_yA[g_v,n_v,-]","karma","L13","ne","-1","-1","0"
"0_dAla_yA_WA_WA","0_dAlA_WA","0[-,-,-]dAla_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L13","ne","-1","-1","0"
"0_dAla_yA_hE_hE","0_dAlA_hE","0[-,-,-]dAla_yA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L13","ne","-2","-1","0"
"0_dAla_yA_ho_0","0_dAlA_ho","0[-,-,-]dAla_yA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L13","ne","-2","-1","0"
"0_dAla_yA_ho_future","0_dAlA_ho_future","0[-,-,-]dAla_yA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L13","ne","-1","-1","0"
"0_dAla_yA_ho_wA","0_dAlA_howA","0[-,-,-]dAla_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L13","ne","-1","-1","0"
"0_jA_future","0_jA_future","0[-,-,-]jA_future[g_v,n_v,p_v]","karwA","L4","n","-1","-1","-1"
"0_jA_nA","0_jAnA","0[-,-,-]jA_nA[-,s,m]","BAve","L5","imp","0","s","m"
